OnePiece_Products_Promo-Products_Chinese-Anniversary-Nami-Gift-Box 14933.997272727273/0.0
OnePiece_Products_Singles_The-Azure-Seas-Seven-Asia-Region-Legal_Boa-Hancock-OP14-112-V3 410.02176470588233/6.883986928104605
OnePiece_Products_Singles_The-Azure-Seas-Seven-Asia-Region-Legal_Dracule-Mihawk-OP12-030 116.93733333333333/0.8119487179487095
OnePiece_Products_Singles_The-Azure-Seas-Seven-Asia-Region-Legal_Kid-Killer-EB01-003 53.42/0.9508695652173955
OnePiece_Products_Singles_The-Azure-Seas-Seven-Asia-Region-Legal_Perona-OP06-093 89.09/2.191818181818192
OnePiece_Products_Singles_The-Azure-Seas-Seven-Asia-Region-Legal_Sengoku-OP07-046 53.347368421052636/-0.4866315789473674
OnePiece_Products_Singles_The-Azure-Seas-Seven-Asia-Region-Legal_Sugar-OP10-065 56.839999999999996/-0.782500000000006
OnePiece_Products_Singles_The-Best-Non-English_Don-PRB-Zoro-V3 272.4271428571429/27.76214285714289
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Boa-Hancock-OP07-051-V3 349.75/-12.5
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_MonkeyDLuffy-ST10-006-V1 405.91499999999996/-18.719545454545425
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Nami-OP01-016-V3 4679.967/-327.2736250000007
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Roronoa-Zoro-OP01-025 999.1530769230769/-109.39146853146849
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Sanji-OP01-013-V2 243.30368421052634/-14.688190789473651
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Tony-TonyChopper-ST01-006-V3 151.13125/-4.760083333333341
OnePiece_Products_Singles_Unnumbered-Promos_MonkeyDLuffy-ST21-014-V1 1828.6934782608694/9.333954451345335
OnePiece_Products_Singles_Wings-of-the-Captain-Japanese_Roronoa-Zoro-OP06-118-V3 1705.317272727273/136.409090909091
Pokemon_Products_Booster-Boxes_MEGA-Dream-ex-Booster-Box-Case 1723.33/-21.66624999999999
Pokemon_Products_Box-Sets_Pokemon-Card-Game-Classic 569.6948148148148/5.979297573435474
Pokemon_Products_Box-Sets_Pokemon-Center-Fukuoka-Special-Box 295.2774576271186/-9.427279214986584
Pokemon_Products_Box-Sets_Pokemon-Center-Hiroshima-Special-Box 262.85756756756757/-14.481182432432433
Pokemon_Products_Box-Sets_Pokemon-Center-Tohoku-Special-Box 192.49571428571429/-0.8230634920634827
Pokemon_Products_Singles_BW-Promos_Giratina-EX 2000.0/0.0
Pokemon_Products_Singles_BW-Promos_Pikachu-V5 5068.49/0.0
Pokemon_Products_Singles_BW-Promos_Rayquaza-EX 9449.994999999999/0.0
Pokemon_Products_Singles_Bandit-Ring_Giratina-EX-V2-XY7091 327.37375/163.95374999999996
Pokemon_Products_Singles_Bandit-Ring_Lugia-EX-V2 368.1088888888889/0.0
Pokemon_Products_Singles_Emerald-Break_MRayquaza-EX-V2 1898.3333333333333/250.83333333333326
Pokemon_Products_Singles_Hyper-Metal-Chain-Deck_Dialga-EX-V2-XYb019 1015.5525/288.1008333333333
Pokemon_Products_Singles_Inferno-X_Mega-Charizard-X-ex-V3-m2110 572.0894957983193/19.390807273729024
Pokemon_Products_Singles_Magma-Gang-VS-Aqua-Gang-Double-Crisis_Team-Aquas-Kyogre-EX-CP1006 663.3088/-33.00424347826083
Pokemon_Products_Singles_Magma-Gang-VS-Aqua-Gang-Double-Crisis_Team-Magmas-Groudon-EX-CP1015 672.2273333333334/0.0
Pokemon_Products_Singles_Phantom-Gate_Gengar-EX-V2 2912.2475/152.5
Pokemon_Products_Singles_Plasma-Gale_Charizard 3056.181818181818/0.0
Pokemon_Products_Singles_Plasma-Gale_Skyla 266.998/-2.0
Pokemon_Products_Singles_Red-Collection_N-V2 450.0/0.0
Pokemon_Products_Singles_Scarlet-Violet-Promos_Hiroshimas-Pikachu-SV-P261 269.5679411764706/0.21703208556147047
Pokemon_Products_Singles_Scarlet-Violet-Promos_Tohokus-Pikachu-SV-P260 160.91234375/-28.00594196428574
Pokemon_Products_Singles_The-Best-of-XY_Hex-Maniac-V2 3500.0/0.0
Pokemon_Products_Singles_The-Best-of-XY_Karen-V2 2500.0/0.0
Pokemon_Products_Singles_The-Best-of-XY_N-V2 1674.9699999999998/0.0
Pokemon_Products_Singles_The-Best-of-XY_Shauna-V2 1174.9975/0.0
Pokemon_Products_Singles_The-Best-of-XY_Yveltal-EX-V2 1093.33/0.0
Pokemon_Products_Singles_Tidal-Storm_Kyogre-EX-V2 125.0/0.0
Pokemon_Products_Singles_Wild-Blaze_Charizard-EX-V2-XY2081 339.21/-0.037222222222226264
Pokemon_Products_Singles_Wild-Blaze_MCharizard-EX-V2 816.64/0.0
Pokemon_Products_Singles_Wild-Blaze_MCharizard-EX-V3 1143.6666666666667/0.0
Pokemon_Products_Singles_Wild-Blaze_Pokemon-Center-Lady-V2 558.2857142857143/0.0
Pokemon_Products_Singles_XY-Promos_Mega-Tokyos-Pikachu-V1-XY-P098 475.64575757575756/27.067186147186135
Pokemon_Products_Singles_XY-Promos_Pikachu-V9 5074.688181818182/-2.1572727272732664
Pokemon_Products_Singles_XY-Promos_Steven 353.26666666666665/0.0
Pokemon_Products_Singles_Gaia-Volcano_Teammates-V2 435.99666666666667/0.0
Pokemon_Products_Singles_Rage-of-the-Broken-Heavens_Gyarados-EX-V2 387.596/0.0
OnePiece_Products_Singles_The-Best-Vol-2-Non-English_Charlotte-Pudding-OP06-047-V2 52.82416666666666/0.0
OnePiece_Products_Singles_The-Best-Vol-2-Non-English_Shanks-OP06-007-V2 74.80235294117648/0.33047794117648266
OnePiece_Products_Singles_The-Best-Vol-2-Non-English_Carrot-OP08-023-V2 34.81666666666667/0.0
OnePiece_Products_Singles_Emperors-in-the-New-World-Non-English_Donquixote-Rosinante-OP04-119 44.133043478260866/1.1860869565217342
OnePiece_Products_Singles_Emperors-in-the-New-World-Non-English_Rob-Lucci-OP05-093 53.5721875/-2.0698814655172413
OnePiece_Products_Singles_Awakening-of-the-New-Era-Japanese_Rob-Lucci-OP03-092 50.142105263157895/3.0977809388335658
OnePiece_Products_Singles_Two-Legends-Non-English_Tashigi-ST06-006 51.21052631578947/0.03842105263157691
OnePiece_Products_Singles_Two-Legends-Non-English_Queen-ST04-005 37.925625000000004/-1.0010416666666586
OnePiece_Products_Singles_Awakening-of-the-New-Era-Japanese_Enel-OP05-100-V3 179.8023076923077/52.0075076923077
Pokemon_Products_Singles_SV-Black-Star-Promos_Mew-ex-SVP053 73.36103333333334/-1.949410453648909
Pokemon_Products_Singles_XY-Promos_Charizard-EX-V4-XY-P276 4588.993157894736/-46.069342105263786
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Nico-Olvia-OP09-106-V2 49.99/0.0
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Zeus-OP11-106-V1 128.03/-0.09666666666666401
Pokemon_Products_Singles_XY-Promos_Skyla 337.5/0.0
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Yamato-EB02-006-V1 89.39999999999999/-0.44666666666668675
OnePiece_Products_Singles_The-Best-Vol-2-Non-English_DON-PRB02-Yamato-V3 49.40852941176471/-0.18709558823528738
OnePiece_Products_Singles_Promos-Japanese_Ryuma-P-072-V1 264.9116666666667/-81.66666666666663
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Boa-Hancock-OP07-051-V4 110.40857142857143/-5.194285714285712
OnePiece_Products_Singles_Special-Tournaments-Promos_Tashigi-OP12-031-V1 427.9011111111111/18.385321637426898
OnePiece_Products_Singles_Promos-Japanese_Ryuma-P-072-V3 124.74333333333334/-0.02051282051282044
Pokemon_Products_Singles_XY-Promos_Rayquaza-Spirit-Link 84.98333333333333/0.0
