OnePiece_Products_Promo-Products_Chinese-Anniversary-Nami-Gift-Box 14306.164166666667/-627.8331060606051
OnePiece_Products_Singles_Special-Tournament-Promos-Japanese_Dracule-Mihawk-OP01-070 855.9286666666667/76.13333333333333
OnePiece_Products_Singles_Special-Tournaments-Promos_Roronoa-Zoro-OP01-025 8999.74625/908.3612500000008
OnePiece_Products_Singles_Special-Tournaments-Promos_Roronoa-Zoro-OP12-020-V1 19124.75/-6883.494285714285
OnePiece_Products_Singles_Special-Tournaments-Promos_Roronoa-Zoro-ST12-008 1266.5/-190.5
OnePiece_Products_Singles_Special-Tournaments-Promos_Yamato-OP01-121 1549.9975/-629.6005
OnePiece_Products_Singles_The-Azure-Seas-Seven-Asia-Region-Legal_Boa-Hancock-OP14-112-V3 379.9947368421052/-30.027027863777107
OnePiece_Products_Singles_The-Azure-Seas-Seven-Asia-Region-Legal_Dracule-Mihawk-OP12-030 115.62/-1.3173333333333233
OnePiece_Products_Singles_The-Azure-Seas-Seven-Asia-Region-Legal_Kid-Killer-EB01-003 52.660000000000004/-0.759999999999998
OnePiece_Products_Singles_The-Azure-Seas-Seven-Asia-Region-Legal_Perona-OP06-093 93.21000000000001/4.1200000000000045
OnePiece_Products_Singles_The-Azure-Seas-Seven-Asia-Region-Legal_Sengoku-OP07-046 51.364782608695656/-1.9825858123569802
OnePiece_Products_Singles_The-Azure-Seas-Seven-Asia-Region-Legal_Sugar-OP10-065 50.78/-6.059999999999995
OnePiece_Products_Singles_The-Best-Non-English_Don-PRB-Zoro-V3 278.8542857142857/6.427142857142826
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Boa-Hancock-OP07-051-V3 305.0/-44.75
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_MonkeyDLuffy-ST10-006-V1 532.5319999999999/126.61699999999996
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Nami-OP01-016-V3 3908.611904761905/-771.3550952380947
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Roronoa-Zoro-OP01-025 548.8564285714285/-450.2966483516484
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Sanji-OP01-013-V2 247.09833333333336/3.794649122807016
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Tony-TonyChopper-ST01-006-V3 151.66642857142855/0.5351785714285597
OnePiece_Products_Singles_Unnumbered-Promos_MonkeyDLuffy-ST21-014-V1 1923.7028260869565/95.00934782608715
OnePiece_Products_Singles_Wings-of-the-Captain-Japanese_Roronoa-Zoro-OP06-118-V3 1627.5825000000002/-77.73477272727268
Pokemon_Products_Booster-Boxes_MEGA-Dream-ex-Booster-Box-Case 1694.9869999999999/-28.343000000000075
Pokemon_Products_Box-Sets_Pokemon-Card-Game-Classic 584.335/14.64018518518526
Pokemon_Products_Box-Sets_Pokemon-Center-Fukuoka-Special-Box 305.6833962264151/6.16056289308176
Pokemon_Products_Box-Sets_Pokemon-Center-Hiroshima-Special-Box 262.89000000000004/0.03243243243247207
Pokemon_Products_Box-Sets_Pokemon-Center-Tohoku-Special-Box 193.56554347826085/1.069829192546564
Pokemon_Products_Singles_BW-Promos_Giratina-EX 2000.0/0.0
Pokemon_Products_Singles_BW-Promos_Pikachu-V5 5130.99/62.5
Pokemon_Products_Singles_BW-Promos_Rayquaza-EX 9449.994999999999/0.0
Pokemon_Products_Singles_Bandit-Ring_Giratina-EX-V2-XY7091 357.5544444444444/30.18069444444444
Pokemon_Products_Singles_Bandit-Ring_Lugia-EX-V2 301.3322222222222/-66.7766666666667
Pokemon_Products_Singles_Emerald-Break_MRayquaza-EX-V2 1447.5/-450.83333333333326
Pokemon_Products_Singles_Hyper-Metal-Chain-Deck_Dialga-EX-V2-XYb019 772.6983333333334/-242.85416666666663
Pokemon_Products_Singles_Inferno-X_Mega-Charizard-X-ex-V3-m2110 556.2340566037735/-15.855439194545738
Pokemon_Products_Singles_Magma-Gang-VS-Aqua-Gang-Double-Crisis_Team-Aquas-Kyogre-EX-CP1006 362.868/-300.4408
Pokemon_Products_Singles_Magma-Gang-VS-Aqua-Gang-Double-Crisis_Team-Magmas-Groudon-EX-CP1015 609.3079310344827/-62.91940229885063
Pokemon_Products_Singles_Phantom-Gate_Gengar-EX-V2 2449.6633333333334/-462.58416666666653
Pokemon_Products_Singles_Plasma-Gale_Charizard 981.6/-2074.581818181818
Pokemon_Products_Singles_Plasma-Gale_Skyla 266.998/0.0
Pokemon_Products_Singles_Red-Collection_N-V2 283.31666666666666/-166.68333333333334
Pokemon_Products_Singles_Scarlet-Violet-Promos_Hiroshimas-Pikachu-SV-P261 275.02354838709675/5.4556072106261695
Pokemon_Products_Singles_Scarlet-Violet-Promos_Tohokus-Pikachu-SV-P260 160.08765625/-0.8246874999999818
Pokemon_Products_Singles_The-Best-of-XY_Hex-Maniac-V2 3500.0/0.0
Pokemon_Products_Singles_The-Best-of-XY_Karen-V2 2375.0/-125.0
Pokemon_Products_Singles_The-Best-of-XY_N-V2 1674.9699999999998/0.0
Pokemon_Products_Singles_The-Best-of-XY_Shauna-V2 1174.9975/0.0
Pokemon_Products_Singles_The-Best-of-XY_Yveltal-EX-V2 1093.33/0.0
Pokemon_Products_Singles_Tidal-Storm_Kyogre-EX-V2 125.0/0.0
Pokemon_Products_Singles_Wild-Blaze_Charizard-EX-V2-XY2081 361.68/22.470000000000027
Pokemon_Products_Singles_Wild-Blaze_MCharizard-EX-V2 816.64/0.0
Pokemon_Products_Singles_Wild-Blaze_MCharizard-EX-V3 710.0/-433.66666666666674
Pokemon_Products_Singles_Wild-Blaze_Pokemon-Center-Lady-V2 558.2857142857143/0.0
Pokemon_Products_Singles_XY-Promos_Mega-Tokyos-Pikachu-V1-XY-P098 470.2942857142857/-5.35147186147185
Pokemon_Products_Singles_XY-Promos_Pikachu-V9 5356.512000000001/281.82381818181875
Pokemon_Products_Singles_XY-Promos_Steven 353.26666666666665/0.0
Pokemon_Products_Singles_Gaia-Volcano_Teammates-V2 401.9975/-33.99916666666667
Pokemon_Products_Singles_Rage-of-the-Broken-Heavens_Gyarados-EX-V2 360.1318181818182/-27.464181818181828
OnePiece_Products_Singles_The-Best-Vol-2-Non-English_Charlotte-Pudding-OP06-047-V2 52.852666666666664/0.02850000000000108
OnePiece_Products_Singles_The-Best-Vol-2-Non-English_Shanks-OP06-007-V2 73.608/-1.1943529411764757
OnePiece_Products_Singles_The-Best-Vol-2-Non-English_Carrot-OP08-023-V2 34.03545454545454/-0.7812121212121284
OnePiece_Products_Singles_Emperors-in-the-New-World-Non-English_Donquixote-Rosinante-OP04-119 44.857142857142854/0.7240993788819878
OnePiece_Products_Singles_Emperors-in-the-New-World-Non-English_Rob-Lucci-OP05-093 47.49533333333333/-6.076854166666671
OnePiece_Products_Singles_Awakening-of-the-New-Era-Japanese_Rob-Lucci-OP03-092 50.142105263157895/3.0977809388335658
OnePiece_Products_Singles_Two-Legends-Non-English_Tashigi-ST06-006 52.5425/1.3319736842105243
OnePiece_Products_Singles_Two-Legends-Non-English_Queen-ST04-005 35.644444444444446/-2.281180555555558
OnePiece_Products_Singles_Awakening-of-the-New-Era-Japanese_Enel-OP05-100-V3 134.04451612903227/-45.75779156327542
Pokemon_Products_Singles_SV-Black-Star-Promos_Mew-ex-SVP053 74.4908695652174/-1.4938751795273504
Pokemon_Products_Singles_XY-Promos_Charizard-EX-V4-XY-P276 5651.377368421053/1062.3842105263166
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Nico-Olvia-OP09-106-V2 36.660000000000004/-13.329999999999998
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Zeus-OP11-106-V1 127.79333333333334/-0.23666666666666458
Pokemon_Products_Singles_XY-Promos_Skyla 525.0/187.5
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Yamato-EB02-006-V1 88.75/-0.6499999999999915
OnePiece_Products_Singles_The-Best-Vol-2-Non-English_DON-PRB02-Yamato-V3 48.18378378378378/-1.22474562798093
OnePiece_Products_Singles_Promos-Japanese_Ryuma-P-072-V1 264.9116666666667/-81.66666666666663
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Boa-Hancock-OP07-051-V4 83.59/-26.81857142857143
OnePiece_Products_Singles_Special-Tournaments-Promos_Tashigi-OP12-031-V1 406.8047619047619/-21.096349206349203
OnePiece_Products_Singles_Promos-Japanese_Ryuma-P-072-V3 115.3464705882353/-9.396862745098034
Pokemon_Products_Singles_XY-Promos_Rayquaza-Spirit-Link 84.98333333333333/0.0
OnePiece_Products_Promo-Products_One-Piece-Card-Game-3rd-Japanese-Anniversary-Set-Asia-Region-Legal-Version 529.6666666666666/0
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_MonkeyDLuffy-OP09-061 249.68400000000003/0
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_Shanks-OP09-001 110.26928571428572/0
OnePiece_Products_Singles_Unnumbered-Promos_Shanks-OP09-001-V2 227.22975609756097/0
OnePiece_Products_Singles_Unnumbered-Promos-Japanese_MarshallDTeach-OP09-081 77.49555555555555/0
